"time_sec","total_count","normal_ratio","blank_screen_ratio","end_early_ratio","no_act_ratio","no_delivery_ratio","handoff_ratio","refresh_ratio"
"2018-09-11 08:45:00",5,0,0,0,0,5,0,0
"2018-09-11 09:00:00",1,0,0,0,0,1,0,0
"2018-09-11 10:15:00",5,0,0,0,0,5,0,0
"2018-09-11 10:30:00",1,0,0,0,0,1,0,0
"2018-09-11 10:45:00",1,0,0,0,0,1,0,0
"2018-09-11 11:15:00",1,0,0,0,0,1,0,0
"2018-09-11 11:30:00",1,0,0,0,0,1,0,0
"2018-09-11 12:00:00",1,0,0,0,0,1,0,0
"2018-09-11 18:00:00",1,0,0,0,0,1,0,0
"2018-09-12 01:30:00",2,0,0,0,0,2,0,0
"2018-09-12 02:00:00",1,0,0,0,0,1,0,0
"2018-09-12 02:15:00",2,0,0,0,0,2,0,0
"2018-09-12 02:30:00",2,0,0,0,0,2,0,0
"2018-09-12 02:45:00",1,0,0,0,0,1,0,0
"2018-09-12 03:15:00",2,0,0,0,0,2,0,0
"2018-09-12 03:45:00",2,0,0,0,0,2,0,0
"2018-09-12 04:00:00",2,0,0,0,0,2,0,0
"2018-09-12 04:15:00",3,0,0,0,0,3,0,0
"2018-09-12 04:30:00",3,0,0,0,0,3,0,0
"2018-09-12 05:30:00",2,0,0,0,0,2,0,0
"2018-09-12 05:45:00",5,0,0,0,0,5,0,0
"2018-09-12 06:15:00",4,0,0,0,0,4,0,0
"2018-09-12 06:30:00",3,0,0,0,0,3,0,0
"2018-09-12 06:45:00",1,0,0,0,0,1,0,0
"2018-09-12 07:00:00",8,0,0,0,0,8,0,0
"2018-09-12 07:15:00",4,0,0,0,0,4,0,0
"2018-09-12 07:30:00",2,0,0,0,0,2,0,0
"2018-09-12 07:45:00",1,0,0,0,0,1,0,0
"2018-09-12 08:45:00",8,0,0,0,0,8,0,0
"2018-09-12 09:00:00",2,0,0,0,0,2,0,0
"2018-09-12 09:30:00",7,0,0,0,0,7,0,0
"2018-09-12 09:45:00",7,0,0,0,0,7,0,0
"2018-09-12 10:00:00",2,0,0,0,0,2,0,0
"2018-09-12 10:15:00",5,0,0,0,0,5,0,0
"2018-09-12 10:30:00",4,0,0,0,0,4,0,0
"2018-09-12 12:45:00",1,0,0,0,0,1,0,0
"2018-09-12 15:15:00",1,0,0,0,0,1,0,0
